Filename,Index Start,Index End,Letter Start
1388,,,
1389,,,
1390,,,
1391,,,
1392,,,
1393,,,
1394,,,
1395,,,
1396,,,
1397,,,
1398,,,
1399,AAA,Allen,A
1400,Allen,Antonelli,
1401,Antonietta,Bagias,B
1402,Baile,Bauer,
1403,Bauersfeld,Bernasconi,
1404,Bernecker,Blum,
1405,Blum,Bradkin,
1406,Bradley,Brown,
1407,Brown,Butler,
1408,Butler,Carnahan,C
1409,Carnes,Charm,
1410,Charm,Cobb,
1411,Cobb,Consolidated,
1412,Consolidated,Crawford,
1413,Crawley,Dammer,D
1414,Damora,Dempsey,
1415,Dempsey,Dixon,
1416,Dixon,Duffey,
1417,Duffey,Elizabeth,E
1418,Elizabethport,Facciola,F
1419,Fach,Fiore,
1420,Fiore,Foster,
1421,Foster,Gale,G
1422,Gale,Gilbert,
1423,Gilby,Graham,
1424,Graham,Geurcia,
1425,Guercio,Handmaids,H
1426,Handy,Heap,
1427,Heaphy,Hirsch,
1428,Hirsch,Housman,
1429,Housman,Iosue,I
1430,Iouse,Johnâ€™s,J
1431,Johns,Kaplonski,K
1432,Kaplow,Kieran,
1433,Kieran,Kohrmann,
1434,Kohrmann,Lahr,L
1435,Lahr,Lebrele,
1436,Le Blanc,Lichtenstein,
1437,Lichtenstein,Luce,
1438,Lu-Celes,Maier,M
1439,Maillar,Martorell,
1440,Marts,McCormick,
1441,McCormick,McWilliams,
1442,McWilliams,Mielcareck,
1443,Miesegas,Montgomery,
1444,Montgomery,Murphy,
1445,Murphy,Neumiller,N
1446,Neuro,New,
1447,New,Notre,
1448,Novak,Olson,O
1449,Olson,Park,P
1450,Park,Peterson,
1451,Peterson,Police,
1452,Police,Pulford,
1453,Pumphrey,Reilley,"Q,R"
1454,Reilly,Richmond,
1455,Richmond,Root,
1456,Root,Ruland,
1457,Ruland,Sandberg,S
1458,Sanchez,Schlamp,
1459,Schlamp,Scirocco,
1460,Scirocco,Sherman,
1461,Sherman,Skerritt,
1462,Skinner,South,
1463,South,Staten,
1464,Staten,Stetson,
1465,Stetzelberg,Sunnyside,
1466,Sunset,Theatre,T
1467,Theatre,Tottenville,
1468,Tottenville,Upton,U
1469,Urbach,Vogt,V
1470,Vogue,Warren,W
1471,Warren,West,
1472,West,Wilson,
1473,Wilson,Yorkston,"X,Y"
1474,Yorysh,Zwiesler,Z
1475,,,
1476,,,
1477,,,